event_id,name,url,venue_name,venue_address,venue_city,venue_lat,venue_lon,rating,num_reviews,price_level,opening_hours,status,segment,genre,subgenre,year,month_name,is_free,popularity_score,popularity_index
ChIJrymDbVSdX0YRQTLBtPGa8M8,Vasamuseet,https://www.vasamuseet.se/,Vasamuseet,"Galärvarvsvägen 14, 115 21 Stockholm, Sverige",Stockholm,59.3280233,18.0913964,4.8,66932,,måndag: 10:00–17:00 | tisdag: 10:00–17:00 | onsdag: 10:00–20:00 | torsdag: 10:00–17:00 | fredag: 10:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,1241.8,100.0
ChIJAUpMflidX0YRNj52SJZ6-b0,Kungliga slottet,https://www.kungligaslotten.se/vara-besoksmal/kungliga-slottet.html,Kungliga slottet,"Kungliga slottet, 107 70 Stockholm, Sverige",Stockholm,59.3268215,18.0717194,4.5,43959,,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,943.5,72.7
ChIJN5Ta_qqCX0YRMYVG1s-2NSw,Skansen,https://www.skansen.se/,Skansen,"Djurgårdsslätten 49-51, 115 21 Stockholm, Sverige",Stockholm,59.3263227,18.105858299999998,4.5,34500,,måndag: 10:00–16:00 | tisdag: 10:00–16:00 | onsdag: 10:00–16:00 | torsdag: 10:00–16:00 | fredag: 10:00–16:00 | lördag: 10:00–16:00 | söndag: 10:00–16:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,835.8,62.9
ChIJBf9B06qCX0YRR46XNXjwFUo,ABBA The Museum,https://www.abbathemuseum.com/,ABBA The Museum,"Djurgårdsvägen 68, 115 21 Stockholm, Sverige",Stockholm,59.325090900000006,18.0967807,4.5,20098,,måndag: 10:00–18:00 | tisdag: 10:00–18:00 | onsdag: 10:00–18:00 | torsdag: 10:00–18:00 | fredag: 10:00–18:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,638.0,44.8
ChIJhaN0M_l3X0YRpOq8uRb_RcA,Fotografiska Stockholm,https://stockholm.fotografiska.com/,Fotografiska Stockholm,"Stadsgårdshamnen 22, 116 45 Stockholm, Sverige",Stockholm,59.31796189999999,18.0848268,4.4,19503,,måndag: 10:00–23:00 | tisdag: 10:00–23:00 | onsdag: 10:00–23:00 | torsdag: 10:00–23:00 | fredag: 10:00–23:00 | lördag: 10:00–23:00 | söndag: 10:00–23:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,614.5,42.6
ChIJxagZg1OdX0YRGKnPhRyci9c,Nordiska museet,https://www.nordiskamuseet.se/,Nordiska museet,"Djurgårdsvägen 6-16, 115 93 Stockholm, Sverige",Stockholm,59.329007999999995,18.094268,4.3,11099,,måndag: 10:00–17:00 | tisdag: 10:00–17:00 | onsdag: 10:00–20:00 | torsdag: 10:00–17:00 | fredag: 10:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,453.0,27.9
ChIJPaaZwgadX0YR_XtKAvqZXw4,Naturhistoriska riksmuseet och Cosmonova,http://www.nrm.se/,Naturhistoriska riksmuseet och Cosmonova,"Frescativägen 40, 114 18 Stockholm, Sverige",Stockholm,59.3689751,18.053877999999997,4.5,8732,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–21:00 | fredag: 11:00–17:00 | lördag: 10:00–17:00 | söndag: 10:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,420.5,24.9
ChIJsUX0N7CCX0YRQAeUrKac-jU,Tekniska museet,https://www.tekniskamuseet.se/,Tekniska museet,"Museivägen 7, 115 27 Stockholm, Sverige",Stockholm,59.33244169999999,18.1188035,4.3,9256,,måndag: 09:00–21:00 | tisdag: 09:00–21:00 | onsdag: 09:00–21:00 | torsdag: 09:00–21:00 | fredag: 09:00–21:00 | lördag: 09:00–21:00 | söndag: 09:00–21:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,413.7,24.3
ChIJ272T01mdX0YRTHM5RptBXaY,Nationalmuseum,https://www.nationalmuseum.se/,Nationalmuseum,"Södra Blasieholmshamnen 2, 111 48 Stockholm, Sverige",Stockholm,59.32853809999999,18.0781954,4.6,7904,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–20:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,True,409.0,23.9
ChIJdXEWYuJ3X0YRbNDHjPig9V4,Nobelprismuseet,https://nobelprizemuseum.se/,Nobelprismuseet,"Stortorget 2, 103 16 Stockholm, Sverige",Stockholm,59.3253103,18.0706657,4.1,8744,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–17:00 | torsdag: 11:00–17:00 | fredag: 11:00–21:00 | lördag: 10:00–18:00 | söndag: 10:00–18:00,permanent,Cultural,Museum,Exhibition,2026,All Year,False,383.4,21.5
ChIJ6d_NxlGdX0YR1VYMTmdoPl0,Historiska museet,https://historiska.se/,Historiska museet,"Narvavägen 17, 114 84 Stockholm, Sverige",Stockholm,59.3346252,18.0908497,4.5,6913,,måndag: Stängt | tisdag: 11:00–17:00 | onsdag: 11:00–20:00 | torsdag: 11:00–17:00 | fredag: 11:00–17:00 | lördag: 11:00–17:00 | söndag: 11:00–17:00,permanent,Cultural,Museum,Exhibition,2026,All Year,True,374.2,20.7
